institution_name,original_programme_name,institution_id,programme_id,country,provider,classification,verified_programme_name,provider_native_programme_id,reason,binding_evidence,action
Yale University,Yale Economics,yale-us-canary,b96e6d58-da92-55a2-8a2d-25bd9f52fc25,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Yale University,Yale Economics (alternate),yale-us-canary,3a7a976d-48b8-57d9-a7cc-d04ecfdff0f1,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Columbia University in the City of New York,Columbia Computer Science,columbia-us-canary,cc8a9728-1497-53fd-a039-50256a671b7c,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Columbia University in the City of New York,Columbia Computer Science (alternate),columbia-us-canary,d1a7f1ff-7249-50ef-a805-e4c72c4ee10d,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Michigan-Ann Arbor,Michigan Data Science,michigan-us-canary,afc13a92-dd1a-53b0-b8dc-e53c8ca7ac45,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Michigan-Ann Arbor,Michigan Data Science (alternate),michigan-us-canary,84c6a72a-1a8e-5f18-8148-5eaf3e92d07d,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Carnegie Mellon University,Carnegie Mellon Machine Learning,cmu-us-canary,0e85fd08-af75-5dc1-b15a-736ca7da58d9,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Carnegie Mellon University,Carnegie Mellon Machine Learning (alternate),cmu-us-canary,2d111313-ac8c-5d54-9c78-58eaaa3049b2,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
New York University,NYU Business Analytics,nyu-us-canary,79ec5af9-62c0-548f-a0e9-4373568c1b48,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
New York University,NYU Business Analytics (alternate),nyu-us-canary,57b33342-6c02-588d-8fe1-070e1414b50e,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Purdue University-Main Campus,Purdue Engineering,purdue-us-canary,11502bf2-9e85-525d-a0fc-a070676ec307,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Purdue University-Main Campus,Purdue Engineering (alternate),purdue-us-canary,03e1ce9d-1328-53dc-8a6c-949ea29d6d8a,US,College Scorecard,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
ETH Zurich,ETH Zurich Data Science,eth-zurich-ch-canary,287d21b6-9988-5ab2-8760-73790ce41946,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
ETH Zurich,ETH Zurich Engineering,eth-zurich-ch-canary,8defaece-6e69-511d-9051-21acb33beb9f,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
EPFL,EPFL Data Science,epfl-ch-canary,08040d71-863c-55e5-bdae-b543a5522672,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
EPFL,EPFL Engineering,epfl-ch-canary,31142093-9075-5d8c-8037-92ac8cae54dd,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Zurich,University of Zurich Data Science,uzh-ch-canary,decf3e2a-c378-5138-b31c-e3da3493b6db,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Zurich,University of Zurich Engineering,uzh-ch-canary,8bf9c3db-a6d3-5d2f-b159-21601aa93163,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Geneva,University of Geneva Data Science,geneva-ch-canary,d0bfd80a-11d0-5bed-a14b-98593eba80c2,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Geneva,University of Geneva Engineering,geneva-ch-canary,e2f1a704-ebd5-5ba1-8849-d9eeaba3aa44,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Lausanne,University of Lausanne Data Science,lausanne-ch-canary,7f4f607f-0bf0-5638-8b4a-2a8c163c53f9,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Lausanne,University of Lausanne Engineering,lausanne-ch-canary,d7c19895-9b75-55c7-b376-1e35e08abe58,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Basel,University of Basel Data Science,basel-ch-canary,660dfaa0-4e84-52bb-862b-5cbcafba06aa,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Basel,University of Basel Engineering,basel-ch-canary,1fa25dc8-b853-590d-8481-27668ce3a81d,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Bern,University of Bern Data Science,bern-ch-canary,645ccb28-be3a-5b92-9bc4-1c596e39d8fc,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of Bern,University of Bern Engineering,bern-ch-canary,2b6b45e5-a934-5676-ab10-f02491fef076,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of St. Gallen,University of St. Gallen Data Science,st-gallen-ch-canary,35fd3eae-11a5-503d-964d-3dfc0c609680,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
University of St. Gallen,University of St. Gallen Engineering,st-gallen-ch-canary,673d0f63-7bac-5f75-b5c2-45d6a43cb758,CH,swissuniversities,SYNTHETIC_SEED,,,institution-scoped provider has no programme-native identifier,institution identity only; no programme-native identifier,KEEP_CANARY_ONLY
Sorbonne Universite,Licence mention informatique,sorbonne-fr-canary,f825d937-ce65-5abf-ba73-588cbbe7d1d4,FR,Onisep Idéo,VERIFIED_PROGRAMME,Licence mention informatique,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.86527"", ""onisep_higher_ed.ENS code UAI"": ""0755283K""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0755283K; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.86527,KEEP_PRODUCTION
Sorbonne Universite,Master mention informatique,sorbonne-fr-canary,1d747e1b-2087-5845-b0b1-9a73afb9fed1,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master mention informatique,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.84654"", ""onisep_higher_ed.ENS code UAI"": ""0755283K""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0755283K; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.84654,KEEP_PRODUCTION
Facultes libres de l'Ouest - UCO Nantes,Licence mention information-communication,uco-nantes-fr-canary,150cc360-0583-5ca4-b727-85c3655122d8,FR,Onisep Idéo,VERIFIED_PROGRAMME,Licence mention information-communication,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.45876"", ""onisep_higher_ed.ENS code UAI"": ""0442777E""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0442777E; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.45876,KEEP_PRODUCTION
Facultes libres de l'Ouest - UCO Nantes,Licence mention science politique,uco-nantes-fr-canary,bfc45f5d-0a97-5713-983e-d41f43e9de06,FR,Onisep Idéo,VERIFIED_PROGRAMME,Licence mention science politique,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.109027"", ""onisep_higher_ed.ENS code UAI"": ""0442777E""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0442777E; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.109027,KEEP_PRODUCTION
Ecole centrale de Lyon,Master mention informatique,centrale-lyon-fr-canary,11ff1bd2-c5f3-5999-b0c4-5f010956c67b,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master mention informatique,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.30276"", ""onisep_higher_ed.ENS code UAI"": ""0690187D""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0690187D; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.30276,KEEP_PRODUCTION
Ecole centrale de Lyon,Master mention chimie et sciences des materiaux,centrale-lyon-fr-canary,19238524-9803-53d5-ba61-dcbe17c6c55a,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master mention chimie et sciences des materiaux,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.60342"", ""onisep_higher_ed.ENS code UAI"": ""0690187D""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0690187D; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.60342,KEEP_PRODUCTION
Ecole normale superieure Paris-Saclay,Master mention physique fondamentale et applications,ens-paris-saclay-fr-canary,62a663d6-de90-5325-922d-27656a7c3d3c,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master mention physique fondamentale et applications,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.43970"", ""onisep_higher_ed.ENS code UAI"": ""0912423P""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0912423P; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.43970,KEEP_PRODUCTION
Ecole normale superieure Paris-Saclay,Master mention biologie-sante,ens-paris-saclay-fr-canary,49412a9b-8bd2-5754-979e-aacdc24e93ad,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master mention biologie-sante,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.19718"", ""onisep_higher_ed.ENS code UAI"": ""0912423P""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0912423P; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.19718,KEEP_PRODUCTION
Institut national des sciences appliquees de Lyon,Master mention IA - intelligence artificielle,insa-lyon-fr-canary,e9ed732d-69bc-5121-918a-1da325af79ef,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master mention IA - intelligence artificielle,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.109653"", ""onisep_higher_ed.ENS code UAI"": ""0690192J""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0690192J; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.109653,KEEP_PRODUCTION
Institut national des sciences appliquees de Lyon,Bachelor en sciences et ingenierie - genie energetique et environnement,insa-lyon-fr-canary,9abbec1d-5f50-59ea-9532-f3ed9e3aff10,FR,Onisep Idéo,VERIFIED_PROGRAMME,Bachelor en sciences et ingenierie - genie energetique et environnement,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.133979"", ""onisep_higher_ed.ENS code UAI"": ""0690192J""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0690192J; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.133979,KEEP_PRODUCTION
Institut polytechnique de Paris,Master mention biologie-sante,ip-paris-fr-canary,10ca8bac-cfc7-5cb3-87ae-5f1041983e86,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master mention biologie-sante,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.130168"", ""onisep_higher_ed.ENS code UAI"": ""0912403T""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0912403T; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.130168,KEEP_PRODUCTION
Institut polytechnique de Paris,Master innovation entreprise societe,ip-paris-fr-canary,c730c2f4-b8a5-5ef0-9947-7eea1b10b7d9,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master innovation entreprise societe,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.130166"", ""onisep_higher_ed.ENS code UAI"": ""0912403T""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0912403T; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.130166,KEEP_PRODUCTION
Grenoble INP - UGA,Master mathematiques et applications,grenoble-inp-fr-canary,c6eca011-652e-5337-acaf-ddaeb1183845,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master mathematiques et applications,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.101907"", ""onisep_higher_ed.ENS code UAI"": ""0383399N""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0383399N; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.101907,KEEP_PRODUCTION
Grenoble INP - UGA,Master informatique,grenoble-inp-fr-canary,bf308eef-94f1-5ee2-93f5-29797353ff96,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master informatique,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.98564"", ""onisep_higher_ed.ENS code UAI"": ""0383399N""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0383399N; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.98564,KEEP_PRODUCTION
Centrale Lille Institut,Master mecanique,centrale-lille-fr-canary,51008e77-c0f0-545f-aa70-38f531ed5337,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master mecanique,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.38086"", ""onisep_higher_ed.ENS code UAI"": ""0597139P""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0597139P; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.38086,KEEP_PRODUCTION
Centrale Lille Institut,Master sciences des donnees,centrale-lille-fr-canary,8e8f2126-460d-5840-b1e8-d4144fbd4007,FR,Onisep Idéo,VERIFIED_PROGRAMME,Master sciences des donnees,"{""onisep_higher_ed.Action de Formation (AF) identifiant Onisep"": ""AF.76413"", ""onisep_higher_ed.ENS code UAI"": ""0597139P""}",source-native programme identifier and deterministic identity binding,onisep_higher_ed.ENS code UAI=0597139P; onisep_higher_ed.Action de Formation (AF) identifiant Onisep=AF.76413,KEEP_PRODUCTION
Oxford University,Computer Science (3 or 4 years),oxford-uk-canary,45d0488c-fd77-5761-bf4b-e68dc9328b6f,UK,Discover Uni,VERIFIED_PROGRAMME,Computer Science (3 or 4 years),"{""discover_uni_hesa.KISCourse"": ""G400"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10007774"", ""discover_uni_hesa.course_name"": ""Computer Science (3 or 4 years)""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10007774; discover_uni_hesa.KISCourse=G400; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Computer Science (3 or 4 years),KEEP_PRODUCTION
Oxford University,Mathematics and Computer Science,oxford-uk-canary,00164ee0-24b0-5e69-8c8b-979d08113044,UK,Discover Uni,VERIFIED_PROGRAMME,Mathematics and Computer Science,"{""discover_uni_hesa.KISCourse"": ""GG14"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10007774"", ""discover_uni_hesa.course_name"": ""Mathematics and Computer Science""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10007774; discover_uni_hesa.KISCourse=GG14; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Mathematics and Computer Science,KEEP_PRODUCTION
University of Cambridge,Computer Science,cambridge-uk-canary,4ec2cb38-ac8f-597c-857d-18eabf99649b,UK,Discover Uni,VERIFIED_PROGRAMME,Computer Science,"{""discover_uni_hesa.KISCourse"": ""UG_CSTX"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10007788"", ""discover_uni_hesa.course_name"": ""Computer Science""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10007788; discover_uni_hesa.KISCourse=UG_CSTX; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Computer Science,KEEP_PRODUCTION
University of Cambridge,Natural Sciences,cambridge-uk-canary,363052cb-99e3-5cb4-bfc4-512e4dc078a2,UK,Discover Uni,VERIFIED_PROGRAMME,Natural Sciences,"{""discover_uni_hesa.KISCourse"": ""UG_NSTX"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10007788"", ""discover_uni_hesa.course_name"": ""Natural Sciences""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10007788; discover_uni_hesa.KISCourse=UG_NSTX; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Natural Sciences,KEEP_PRODUCTION
Imperial College London,Mathematics and Computer Science,imperial-uk-canary,8322e08f-eb1d-50a8-bd91-33371fb57645,UK,Discover Uni,VERIFIED_PROGRAMME,Mathematics and Computer Science,"{""discover_uni_hesa.KISCourse"": ""GG14"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10003270"", ""discover_uni_hesa.course_name"": ""Mathematics and Computer Science""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10003270; discover_uni_hesa.KISCourse=GG14; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Mathematics and Computer Science,KEEP_PRODUCTION
Imperial College London,Mathematics and Computer Science,imperial-uk-canary,c5b5eba6-707a-51a9-b64a-9385389c6bd7,UK,Discover Uni,VERIFIED_PROGRAMME,Mathematics and Computer Science,"{""discover_uni_hesa.KISCourse"": ""GG41"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10003270"", ""discover_uni_hesa.course_name"": ""Mathematics and Computer Science""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10003270; discover_uni_hesa.KISCourse=GG41; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Mathematics and Computer Science,KEEP_PRODUCTION
University of Nottingham,Computer Science,nottingham-uk-canary,e21a74fb-4986-5481-9095-01428fac91ef,UK,Discover Uni,VERIFIED_PROGRAMME,Computer Science,"{""discover_uni_hesa.KISCourse"": ""G400"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10007154"", ""discover_uni_hesa.course_name"": ""Computer Science""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10007154; discover_uni_hesa.KISCourse=G400; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Computer Science,KEEP_PRODUCTION
University of Nottingham,Computer Science,nottingham-uk-canary,203e027d-3bf3-57ca-9bf7-6bcaf82a909a,UK,Discover Uni,VERIFIED_PROGRAMME,Computer Science,"{""discover_uni_hesa.KISCourse"": ""G404"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10007154"", ""discover_uni_hesa.course_name"": ""Computer Science""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10007154; discover_uni_hesa.KISCourse=G404; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Computer Science,KEEP_PRODUCTION
The University of Edinburgh,Computer Science,edinburgh-uk-canary,814d8802-d69b-59c9-808a-b733ffe17579,UK,Discover Uni,VERIFIED_PROGRAMME,Computer Science,"{""discover_uni_hesa.KISCourse"": ""UTCMPSIBENGH"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10007790"", ""discover_uni_hesa.course_name"": ""Computer Science""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10007790; discover_uni_hesa.KISCourse=UTCMPSIBENGH; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Computer Science,KEEP_PRODUCTION
The University of Edinburgh,Computer Science,edinburgh-uk-canary,9e56967c-c215-5e0b-ba38-018d61a6a991,UK,Discover Uni,VERIFIED_PROGRAMME,Computer Science,"{""discover_uni_hesa.KISCourse"": ""UTCMPSIBSCH"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10007790"", ""discover_uni_hesa.course_name"": ""Computer Science""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10007790; discover_uni_hesa.KISCourse=UTCMPSIBSCH; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Computer Science,KEEP_PRODUCTION
The University of Manchester,Computer Science,manchester-uk-canary,de38fc20-2235-5c03-b4f0-5d3817f4abcc,UK,Discover Uni,VERIFIED_PROGRAMME,Computer Science,"{""discover_uni_hesa.KISCourse"": ""28"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10007798"", ""discover_uni_hesa.course_name"": ""Computer Science""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10007798; discover_uni_hesa.KISCourse=28; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Computer Science,KEEP_PRODUCTION
The University of Manchester,Data Science,manchester-uk-canary,056c787b-cb1e-526e-bb3d-9a731e339a19,UK,Discover Uni,VERIFIED_PROGRAMME,Data Science,"{""discover_uni_hesa.KISCourse"": ""2571195"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10007798"", ""discover_uni_hesa.course_name"": ""Data Science""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10007798; discover_uni_hesa.KISCourse=2571195; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Data Science,KEEP_PRODUCTION
University of Bristol,Computer Science,bristol-uk-canary,df53e148-1899-5eb0-b91b-2abd84256559,UK,Discover Uni,VERIFIED_PROGRAMME,Computer Science,"{""discover_uni_hesa.KISCourse"": ""4COSC006UU-202425"", ""discover_uni_hesa.KISMODE"": ""Full-time"", ""discover_uni_hesa.PUBUKPRN"": ""10007786"", ""discover_uni_hesa.course_name"": ""Computer Science""}",source-native programme identifier and deterministic identity binding,discover_uni_hesa.PUBUKPRN=10007786; discover_uni_hesa.KISCourse=4COSC006UU-202425; discover_uni_hesa.KISMODE=Full-time; discover_uni_hesa.course_name=Computer Science,KEEP_PRODUCTION
