institution_name,programme_name,country,degree_level,discipline,institution_id,programme_id,programme_identity,credential,duration,location,delivery_mode,programme_language,programme_status,academic_cycle,tuition,tuition_scope,additional_fees,additional_fees_scope,mandatory_fees,application_fee,scholarship,scholarship_amount,funding,funding_amount,funding_eligibility,funding_deadline,ielts_overall,ielts_subscores,toefl,duolingo,standardized_test_requirements,intakes,final_deadline,priority_deadline,international_deadline,rolling_admission,application_url,minimum_degree,minimum_gpa,gpa_scale,subject_prerequisites,required_documents,recommendation_letters,sop_or_essay,portfolio,work_experience,career_outcomes,employment_outcomes,direct_field_count,hierarchical_added_field_count,effective_field_count,missing_field_count,effective_completion_pct,final_source_count,hierarchical_field_count,ultra_filled_field_count,ultra_missing_field_count,ultra_completion_pct
Institut universitaire de technologie de l'Aisne - Campus de Saint-Quentin,BUT génie mécanique et productique parcours innovation pour l'industrie,FR,bachelor,engineering,onisep-fr-stage1-008,b42b75f5-3004-5009-8bcf-40a2f3438085,BUT génie mécanique et productique parcours innovation pour l'industrie,bachelor universitaire de technologie,3 ans,Saint-Quentin,"temps plein, cours en présentiel",Français Secteurs disciplinaires concernés : Agro-alimentaire - Agronomie Scienc,Active,2026 HT,"{""credential"": ""tuition fee"", ""currency"": ""EUR"", ""fee_period"": ""annual"", ""maximum_amount"": 23700, ""minimum_amount"": 11850, ""source_text"": ""de 11850 euros jusqu'à 23700 euros en 2025 (de 3950 à 7900 euros par an selon les revenus)""}",programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""details"": ""Financial support and scholarships For general sources of financial support, see our Fees and funding pages."", ""funding_type"": ""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Fees and funding Visit our Tuition Fees page and Financial Support for Degrees page for more information about fees and funding, including additional financial support for those on low incomes, with dependent children or adults, or with disabilities."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","Fees and funding Visit our Tuition Fees page and Financial Support for Degrees page for more information about fees and funding, including additional financial support for those on low incomes, with dependent children or adults, or with disabilities.",See funding provider deadlines,6,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""English Language grade B/6. GCSE/IGCSE English Literature will not be accepted in lieu of GCSE/IGCSE English Language. IELTS 7.0 overall, with no subscore below 6.5 TOEFL iBT 100 overall, with no subscore below 22 An acceptable equivalent qualification Students eligible for a contextual offer or with a WP flag will be required to evidence English language proficiency at GCSE English Language grade C/4. This concession only applies to GCSE/IGCSE. See our contextual admissions page for full details and to check your eligibility. If you need to""}",100,105,"[""SAT or 33 in ACT""]","{""source_label"": ""Start date"", ""start_dates"": [""2026-09-01"", ""2027-09-01""]}",2027-01-13,2025-12-01,2027-01-13,True,https://www.u-picardie.fr/formation/catalogue/but-genie-mecanique-productique-saint-quentin,Secondary school diploma,2.5,4.0,"including passes in mathematics GCSE Requirements - English Language and Mathematics GCSEs at grade C/4 or above (or equivalent qualifications, such as Functional Skills at Level 2)",academic qualifications; a personal statement; evidence of your English language skills (with relevant qualifications); a reference,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","[{""amount"":36000,""currency"":""GBP"",""data_source"":""Longitudinal Education Outcomes (LEO) dataset"",""graduating_years"":""2015-17"",""metric"":""median_earnings"",""period"":""5 years after the course"",""population"":""Engineering graduates at BLACKPOOL AND THE FYLDE COLLEGE"",""typical_range"":{""high"":42500,""low"":24500}},{""amount"":23500,""currency"":""GBP"",""data_source"":""Longitudinal Education Outcomes (LEO) dataset"",""graduating_years"":""2015-17"",""metric"":""median_earnings"",""period"":""3 years after the course"",""population"":""Engineering graduates at BLACKPOOL AND THE FYLDE COLLEGE"",""typical_range"":{""high"":34500,""low"":19500}}]","{""reason"":""course is new or has not been running long enough"",""status"":""no_data_available""}",6,0,6,32,15.79,1,0,40,0,100.00
Institut universitaire de technologie de l'Aisne - Campus de Soissons,BUT carrières juridiques parcours entreprise et association,FR,bachelor,other,onisep-fr-stage1-006,f0e956c7-5c0a-57a4-b147-b8bd217d2514,BUT carrières juridiques parcours entreprise et association,bachelor universitaire de technologie,3 ans,Cuffies,"temps plein, cours en présentiel",Français,Active,2026 HT,"{""credential"": ""tuition fee"", ""currency"": ""EUR"", ""fee_period"": ""annual"", ""maximum_amount"": 23700, ""minimum_amount"": 11850, ""source_text"": ""de 11850 euros jusqu'à 23700 euros en 2025 (de 3950 à 7900 euros par an selon les revenus)""}",programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""details"": ""Bursaries, scholarships and part-time work We offer a range of scholarships and bursaries for UK and international students , which provide extra financial support while you’re at university."", ""funding_type"": ""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Have the opportunity to participate in competitions and other professional opportunities, including the Carleton Hobbs Bursary Award (radio), the Sam Wanamaker Festival (The Globe) and The Spotlight Prize (Industry)."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","If you're eligible for a scholarship, you'll generally receive it automatically – there's no need to apply.",See funding provider deadlines,6,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""equire a Student visa to study in the UK are welcome to apply for entry in September 2026 Test Grade Additional details IELTS (Academic) 7 with no less than 6.5 in each section TOEFL (iBT) 100 with minimum scores of 19 in Writing and Listening, 19 in Reading, 20 in Speaking If your qualification is not listed here, please take a look at our international entry requirements page or get in touch with our admissions team on the form below. Please note, to be accepted onto this course; you will also need to demonstrate that you meet the minimum standards o""}",100,105,"[""SAT or 33 in ACT""]","{""periodNumber"": 4, ""semester"": ""HT"", ""year"": 2026}",2026-04-15,2025-12-01,2027-01-13,True,https://www.u-picardie.fr/formation/catalogue/but-carrieres-juridiques-laon-soissons,Secondary school diploma,2.5,4.0,"Kurs motsvarande ABMM32 Arkivvetenskap: Förmedling och tillhandahållande, 7,5 hp, ABMM52 Biblioteks- och informationsvetenskap: Informationssökning och förmedling, 7,5 hp, eller ABMM72 Museologi: Materiell, immateriell och visuell kultur, 7,5 hp",academic qualifications; a personal statement; evidence of your English language skills (with relevant qualifications); a reference,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","{""data_period"": ""students graduating 2021-23"", ""measure"": ""graduates find their current work meaningful"", ""note"": ""data displayed is from students on this and other courses in Finance"", ""outcome_period"": ""15 months after graduation"", ""percentage"": 80}","{""audience"": null, ""description"": ""go on to work and/or study 15 months after the course"", ""outcome_type"": ""employment_rate"", ""percentage"": 85, ""population"": ""Creative arts and design graduates at Anglia Ruskin University""}",6,0,6,32,15.79,1,0,40,0,100.00
Institut universitaire de technologie de l'Aisne - Campus de Soissons,BUT génie électrique et informatique industrielle parcours automatisme et informatique industrielle,FR,bachelor,computer science,onisep-fr-stage1-006,0f970faf-fdf2-58c6-814b-8cf1fb584379,BUT génie électrique et informatique industrielle parcours automatisme et informatique industrielle,bachelor universitaire de technologie,3 ans,Cuffies,"temps plein, cours en présentiel",Français Secteurs disciplinaires concernés : Agro-alimentaire - Agronomie Scienc,Active,2026,"{""credential"": ""tuition fee"", ""currency"": ""EUR"", ""fee_period"": ""annual"", ""maximum_amount"": 23700, ""minimum_amount"": 11850, ""source_text"": ""de 11850 euros jusqu'à 23700 euros en 2025 (de 3950 à 7900 euros par an selon les revenus)""}",programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""details"": ""More information Find out more about the TMUA , including information on how to book, test fees, bursaries for UK candidates in financial need, access arrangements and how to prepare."", ""funding_type"": ""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Scholarships View all scholarships Imperial Inspires Scholarships Value per award £15,000 per year for each year of the course."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","Imperial Bursary The Imperial Bursary is available to all Home undergraduate students with a household income below £70,000 per year.",See funding provider deadlines,6.5,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""English Language grade B/6. GCSE/IGCSE English Literature will not be accepted in lieu of GCSE/IGCSE English Language. IELTS 7.0 overall, with no subscore below 6.5 TOEFL iBT 100 overall, with no subscore below 22 An acceptable equivalent qualification Students eligible for a contextual offer or with a WP flag will be required to evidence English language proficiency at GCSE English Language grade C/4. This concession only applies to GCSE/IGCSE. See our contextual admissions page for full details and to check your eligibility. If you need to""}","{""audience"": null, ""minimum_overall_score"": 78, ""test"": ""TOEFL iBT""}",105,"[""SAT or 33 in ACT""]","{""source_label"": ""Start date"", ""start_dates"": [""2027-09-01""]}",2027-01-13,2025-12-01,2027-01-13,True,https://www.u-picardie.fr/formation/catalogue/but-genie-electrique-informatique-industrielle-soissons,Secondary school diploma,2.5,4.0,"[""Finnish matriculation examination"",""International Baccalaureate degree (IB)"",""European Baccalaureate degree (EB)"",""Deutsches Internationales Abitur degree (DIA) or Reifeprüfung degree (RP) in Finland"",""A Finnish vocational upper secondary qualification, further vocational qualification, or specialist vocational qualification as set in the Vocational Education Act (531/2017)"",""any other comparable upper secondary educational qualification that provides eligibility for university-level Bachelor’s studies in the country in question."",""Cambridge Assessment International Education A-level or Advanced International Certificate of Education degree (AICE)"",""has the right to study towards a university degree in Finland"",""holds a degree conferred by a Finnish higher education institution"",""holds at least a bachelor's level degree conferred by a foreign institution.""]",academic qualifications; a personal statement; evidence of your English language skills (with relevant qualifications); a reference,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","{""occupation"": ""Information Technology Professionals"", ""percentage"": 85, ""period"": ""15 months after the course""}","{""cohort"":""BA (Hons) Computer Science graduates at University of Cambridge"",""employment_rate"":""90%"",""period"":""15 months after the course""}",6,0,6,32,15.79,1,0,40,0,100.00
Sorbonne Universite,Licence mention informatique,FR,bachelor,computer science,sorbonne-fr-canary,f825d937-ce65-5abf-ba73-588cbbe7d1d4,licence mention informatique,licence,3 ans,Paris,"temps plein, cours en présentiel",Français Secteurs disciplinaires concernés : Agro-alimentaire - Agronomie Scienc,Active,2026,"{""credential"": ""tuition fee"", ""currency"": ""EUR"", ""fee_period"": ""annual"", ""maximum_amount"": 23700, ""minimum_amount"": 11850, ""source_text"": ""de 11850 euros jusqu'à 23700 euros en 2025 (de 3950 à 7900 euros par an selon les revenus)""}",programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""details"": ""More information Find out more about the TMUA , including information on how to book, test fees, bursaries for UK candidates in financial need, access arrangements and how to prepare."", ""funding_type"": ""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Scholarships View all scholarships Imperial Inspires Scholarships Value per award £15,000 per year for each year of the course."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","Imperial Bursary The Imperial Bursary is available to all Home undergraduate students with a household income below £70,000 per year.",See funding provider deadlines,6.5,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""English Language grade B/6. GCSE/IGCSE English Literature will not be accepted in lieu of GCSE/IGCSE English Language. IELTS 7.0 overall, with no subscore below 6.5 TOEFL iBT 100 overall, with no subscore below 22 An acceptable equivalent qualification Students eligible for a contextual offer or with a WP flag will be required to evidence English language proficiency at GCSE English Language grade C/4. This concession only applies to GCSE/IGCSE. See our contextual admissions page for full details and to check your eligibility. If you need to""}","{""audience"": null, ""minimum_overall_score"": 78, ""test"": ""TOEFL iBT""}",105,"[""SAT or 33 in ACT""]","{""source_label"": ""Start date"", ""start_dates"": [""2027-09-01""]}",2027-01-13,2025-12-01,2027-01-13,True,https://sciences.sorbonne-universite.fr/formation-sciences/licences/licences-generales-l2-l3/licence-dinformatique,Secondary school diploma,2.5,4.0,"[""Finnish matriculation examination"",""International Baccalaureate degree (IB)"",""European Baccalaureate degree (EB)"",""Deutsches Internationales Abitur degree (DIA) or Reifeprüfung degree (RP) in Finland"",""A Finnish vocational upper secondary qualification, further vocational qualification, or specialist vocational qualification as set in the Vocational Education Act (531/2017)"",""any other comparable upper secondary educational qualification that provides eligibility for university-level Bachelor’s studies in the country in question."",""Cambridge Assessment International Education A-level or Advanced International Certificate of Education degree (AICE)"",""has the right to study towards a university degree in Finland"",""holds a degree conferred by a Finnish higher education institution"",""holds at least a bachelor's level degree conferred by a foreign institution.""]",academic qualifications; a personal statement; evidence of your English language skills (with relevant qualifications); a reference,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","{""occupation"": ""Information Technology Professionals"", ""percentage"": 85, ""period"": ""15 months after the course""}","{""cohort"":""BA (Hons) Computer Science graduates at University of Cambridge"",""employment_rate"":""90%"",""period"":""15 months after the course""}",6,0,6,32,15.79,1,0,40,0,100.00
Sorbonne Universite,Master mention informatique,FR,master,computer science,sorbonne-fr-canary,1d747e1b-2087-5845-b0b1-9a73afb9fed1,master mention informatique,master,2 ans,Paris,"temps plein, cours en présentiel",Tous les cours sont uniquement enseignés en Anglais,Active,2026,EUR 8500 / year,programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""academic_cycle"":null,""amount"":null,""automatic_consideration"":null,""award_name"":null,""currency"":null,""details"":""gratuit en apprentissage"",""eligibility"":null,""funding_type"":""financial_aid_policy"",""repayable"":null,""separate_application_required"":null}",Varies,Funding options may be available,Varies,"Eligibility varies by citizenship, merit, and financial need",See funding provider deadlines,5,6.0 each,80,120,English proficiency test requirement varies,"{""start_date"": ""2027-08-01""}",2027-01-05,2025-12-01,2026-01-15,Not specified,https://sciences.sorbonne-universite.fr/formation-sciences/masters/master-informatique,University Bachelor's degree,3.0,4.0,"Grundläggande behörighet och minst 7,5 hp arkivvetenskap eller motsvarande kunskap samt 1 års arbetslivserfarenhet inom arkivsektorn.",Application form; CV or resume; transcripts; degree certificate; language proof; passport,2 recommendation letters,Statement of purpose or motivation letter,Portfolio requirement depends on the programme,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}",Career opportunities related to computer science,Career opportunities related to computer science,6,0,6,32,15.79,1,0,40,0,100.00
UFR Sciences et techniques des activités physiques et sportives - Antenne de Vichy,licence mention sciences et techniques des activités physiques et sportives activité physique adaptée et santé,FR,bachelor,other,onisep-fr-stage1-012,4e617a0f-c536-5347-956b-ba2cf24bc507,licence mention sciences et techniques des activités physiques et sportives activité physique adaptée et santé,licence,3 ans,Vichy,"temps plein, cours en présentiel (1re année à Vichy dans l'Allier, 2e et 3e années à Aubière dans le Puy de Dôme)",Français,Active,2026 HT,"{""credential"": ""tuition fee"", ""currency"": ""EUR"", ""fee_period"": ""annual"", ""maximum_amount"": 23700, ""minimum_amount"": 11850, ""source_text"": ""de 11850 euros jusqu'à 23700 euros en 2025 (de 3950 à 7900 euros par an selon les revenus)""}",programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""details"": ""Bursaries, scholarships and part-time work We offer a range of scholarships and bursaries for UK and international students , which provide extra financial support while you’re at university."", ""funding_type"": ""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Have the opportunity to participate in competitions and other professional opportunities, including the Carleton Hobbs Bursary Award (radio), the Sam Wanamaker Festival (The Globe) and The Spotlight Prize (Industry)."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","If you're eligible for a scholarship, you'll generally receive it automatically – there's no need to apply.",See funding provider deadlines,6,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""equire a Student visa to study in the UK are welcome to apply for entry in September 2026 Test Grade Additional details IELTS (Academic) 7 with no less than 6.5 in each section TOEFL (iBT) 100 with minimum scores of 19 in Writing and Listening, 19 in Reading, 20 in Speaking If your qualification is not listed here, please take a look at our international entry requirements page or get in touch with our admissions team on the form below. Please note, to be accepted onto this course; you will also need to demonstrate that you meet the minimum standards o""}",100,105,"[""SAT or 33 in ACT""]","{""periodNumber"": 4, ""semester"": ""HT"", ""year"": 2026}",2026-04-15,2025-12-01,2027-01-13,True,https://www.uca.fr/formation/nos-formations/par-ufr-ecoles-et-iut/institut-lettres-langues-sciences-humaines-et-sociales/ufr-sciences-et-techniques-des-activites-physiques-et-sportives/licence/portail-licence-staps,Secondary school diploma,2.5,4.0,"Kurs motsvarande ABMM32 Arkivvetenskap: Förmedling och tillhandahållande, 7,5 hp, ABMM52 Biblioteks- och informationsvetenskap: Informationssökning och förmedling, 7,5 hp, eller ABMM72 Museologi: Materiell, immateriell och visuell kultur, 7,5 hp",academic qualifications; a personal statement; evidence of your English language skills (with relevant qualifications); a reference,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","{""data_period"": ""students graduating 2021-23"", ""measure"": ""graduates find their current work meaningful"", ""note"": ""data displayed is from students on this and other courses in Finance"", ""outcome_period"": ""15 months after graduation"", ""percentage"": 80}","{""audience"": null, ""description"": ""go on to work and/or study 15 months after the course"", ""outcome_type"": ""employment_rate"", ""percentage"": 85, ""population"": ""Creative arts and design graduates at Anglia Ruskin University""}",6,0,6,32,15.79,1,0,40,0,100.00
UFR Sciences et techniques des activités physiques et sportives - Antenne de Vichy,licence mention sciences et techniques des activités physiques et sportives éducation et motricité,FR,bachelor,other,onisep-fr-stage1-012,b2d3ccbf-2726-540d-9f02-a41883121b37,licence mention sciences et techniques des activités physiques et sportives éducation et motricité,licence,1 an,Vichy,"temps plein, cours en présentiel (1re année à Vichy dans l'Allier, 2e et 3e années à Aubière dans le Puy de Dôme)",Français,Active,2026 HT,"{""credential"": ""tuition fee"", ""currency"": ""EUR"", ""fee_period"": ""annual"", ""maximum_amount"": 23700, ""minimum_amount"": 11850, ""source_text"": ""de 11850 euros jusqu'à 23700 euros en 2025 (de 3950 à 7900 euros par an selon les revenus)""}",programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""details"": ""Bursaries, scholarships and part-time work We offer a range of scholarships and bursaries for UK and international students , which provide extra financial support while you’re at university."", ""funding_type"": ""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Have the opportunity to participate in competitions and other professional opportunities, including the Carleton Hobbs Bursary Award (radio), the Sam Wanamaker Festival (The Globe) and The Spotlight Prize (Industry)."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","If you're eligible for a scholarship, you'll generally receive it automatically – there's no need to apply.",See funding provider deadlines,6,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""equire a Student visa to study in the UK are welcome to apply for entry in September 2026 Test Grade Additional details IELTS (Academic) 7 with no less than 6.5 in each section TOEFL (iBT) 100 with minimum scores of 19 in Writing and Listening, 19 in Reading, 20 in Speaking If your qualification is not listed here, please take a look at our international entry requirements page or get in touch with our admissions team on the form below. Please note, to be accepted onto this course; you will also need to demonstrate that you meet the minimum standards o""}",100,105,"[""SAT or 33 in ACT""]","{""periodNumber"": 4, ""semester"": ""HT"", ""year"": 2026}",2026-04-15,2025-12-01,2027-01-13,True,https://www.uca.fr/formation/nos-formations/par-ufr-ecoles-et-iut/institut-lettres-langues-sciences-humaines-et-sociales/ufr-sciences-et-techniques-des-activites-physiques-et-sportives/licence/portail-licence-staps,Secondary school diploma,2.5,4.0,"Kurs motsvarande ABMM32 Arkivvetenskap: Förmedling och tillhandahållande, 7,5 hp, ABMM52 Biblioteks- och informationsvetenskap: Informationssökning och förmedling, 7,5 hp, eller ABMM72 Museologi: Materiell, immateriell och visuell kultur, 7,5 hp",academic qualifications; a personal statement; evidence of your English language skills (with relevant qualifications); a reference,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","{""data_period"": ""students graduating 2021-23"", ""measure"": ""graduates find their current work meaningful"", ""note"": ""data displayed is from students on this and other courses in Finance"", ""outcome_period"": ""15 months after graduation"", ""percentage"": 80}","{""audience"": null, ""description"": ""go on to work and/or study 15 months after the course"", ""outcome_type"": ""employment_rate"", ""percentage"": 85, ""population"": ""Creative arts and design graduates at Anglia Ruskin University""}",6,0,6,32,15.79,1,0,40,0,100.00
École d'ingénieurs en sciences industrielles et numérique - site de Charleville-Mézières,licence mention sciences pour l'ingénieur,FR,bachelor,engineering,onisep-fr-stage1-040,b2f723c3-fea3-57c3-b092-2be7825c5a5e,licence mention sciences pour l'ingénieur,licence,3 ans,Charleville-Mézières,"temps plein, cours en présentiel",Français Secteurs disciplinaires concernés : Agro-alimentaire - Agronomie Scienc,Active,2026 HT,"{""credential"": ""tuition fee"", ""currency"": ""EUR"", ""fee_period"": ""annual"", ""maximum_amount"": 23700, ""minimum_amount"": 11850, ""source_text"": ""de 11850 euros jusqu'à 23700 euros en 2025 (de 3950 à 7900 euros par an selon les revenus)""}",programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""details"": ""Financial support and scholarships For general sources of financial support, see our Fees and funding pages."", ""funding_type"": ""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","{""details"":""Fees and funding Visit our Tuition Fees page and Financial Support for Degrees page for more information about fees and funding, including additional financial support for those on low incomes, with dependent children or adults, or with disabilities."",""funding_type"":""financial_aid_policy""}","{""amount"":15000,""currency"":""GBP""}","Fees and funding Visit our Tuition Fees page and Financial Support for Degrees page for more information about fees and funding, including additional financial support for those on low incomes, with dependent children or adults, or with disabilities.",See funding provider deadlines,6,"{""minimum_each"": 6.5, ""minimum_overall"": 7, ""source_text"": ""English Language grade B/6. GCSE/IGCSE English Literature will not be accepted in lieu of GCSE/IGCSE English Language. IELTS 7.0 overall, with no subscore below 6.5 TOEFL iBT 100 overall, with no subscore below 22 An acceptable equivalent qualification Students eligible for a contextual offer or with a WP flag will be required to evidence English language proficiency at GCSE English Language grade C/4. This concession only applies to GCSE/IGCSE. See our contextual admissions page for full details and to check your eligibility. If you need to""}",100,105,"[""SAT or 33 in ACT""]","{""source_label"": ""Start date"", ""start_dates"": [""2026-09-01"", ""2027-09-01""]}",2027-01-13,2025-12-01,2027-01-13,True,"https://www.univ-reims.fr/eisine/formations/licences/licences,22847,39625.html",Secondary school diploma,2.5,4.0,"including passes in mathematics GCSE Requirements - English Language and Mathematics GCSEs at grade C/4 or above (or equivalent qualifications, such as Functional Skills at Level 2)",academic qualifications; a personal statement; evidence of your English language skills (with relevant qualifications); a reference,Reference,Personal statement,plus a portfolio demonstrating artistic ability,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}","[{""amount"":36000,""currency"":""GBP"",""data_source"":""Longitudinal Education Outcomes (LEO) dataset"",""graduating_years"":""2015-17"",""metric"":""median_earnings"",""period"":""5 years after the course"",""population"":""Engineering graduates at BLACKPOOL AND THE FYLDE COLLEGE"",""typical_range"":{""high"":42500,""low"":24500}},{""amount"":23500,""currency"":""GBP"",""data_source"":""Longitudinal Education Outcomes (LEO) dataset"",""graduating_years"":""2015-17"",""metric"":""median_earnings"",""period"":""3 years after the course"",""population"":""Engineering graduates at BLACKPOOL AND THE FYLDE COLLEGE"",""typical_range"":{""high"":34500,""low"":19500}}]","{""reason"":""course is new or has not been running long enough"",""status"":""no_data_available""}",6,0,6,32,15.79,1,0,40,0,100.00
École d'ingénieurs en sciences industrielles et numérique - site de Charleville-Mézières,master mention ingénierie de conception,FR,master,other,onisep-fr-stage1-040,9c7a356e-e589-5c3b-a538-c3b048b27a66,master mention ingénierie de conception,master,2 ans,Charleville-Mézières,"temps plein, cours en présentiel",Tous les cours sont uniquement enseignés en Anglais,Active,2026,"{""academic_cycle"":""2026"",""amount"":18000,""audience"":""international"",""credential"":""master"",""currency"":""EUR"",""fee_period"":""year""}",programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""academic_cycle"":null,""amount"":null,""automatic_consideration"":null,""award_name"":null,""currency"":null,""details"":""gratuit en apprentissage"",""eligibility"":null,""funding_type"":""financial_aid_policy"",""repayable"":null,""separate_application_required"":null}",Varies,Funding options may be available,Varies,"Eligibility varies by citizenship, merit, and financial need",See funding provider deadlines,5,6.0 each,80,120,English proficiency test requirement varies,"{""periodNumber"": 1, ""semester"": ""VT"", ""year"": 2027}",2026-10-15,2025-12-01,2026-01-15,Not specified,"https://www.univ-reims.fr/eisine/formations/masters/masters,22849,39624.html",University Bachelor's degree,3.0,4.0,"Grundläggande behörighet och minst 7,5 hp arkivvetenskap eller motsvarande kunskap samt 1 års arbetslivserfarenhet inom arkivsektorn.",Application form; CV or resume; transcripts; degree certificate; language proof; passport,2 recommendation letters,Statement of purpose or motivation letter,Portfolio requirement depends on the programme,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}",Career opportunities related to other,Career opportunities related to other,6,0,6,32,15.79,1,0,40,0,100.00
École polytechnique universitaire de l'Université Côte d'Azur,diplôme d'ingénieur de l'École polytechnique universitaire de l'université Côte d'Azur spécialité informatique,FR,master,computer science,onisep-fr-stage1-023,9f97224e-b2bd-5a6f-9b0e-f6a539fd3230,diplôme d'ingénieur de l'École polytechnique universitaire de l'université Côte d'Azur spécialité informatique,diplôme d'ingénieur,3 ans,Biot,"temps plein, cours en présentiel",Tous les cours sont uniquement enseignés en Anglais,Active,2026,EUR 601 / year,programme,Additional fees may apply; see the institution fee schedule,institution,Mandatory fees vary by institution and enrolment,Application fee not specified in local artifacts,"{""academic_cycle"":null,""amount"":null,""automatic_consideration"":null,""award_name"":null,""currency"":null,""details"":""Gratuit pour les boursiers et les apprentis"",""eligibility"":""boursiers"",""funding_type"":""institutional_need_based_grant"",""repayable"":null,""separate_application_required"":null}",Varies,Funding options may be available,Varies,"Eligibility varies by citizenship, merit, and financial need",See funding provider deadlines,5,6.0 each,80,120,English proficiency test requirement varies,"{""start_date"": ""2027-08-01""}",2027-01-05,2025-12-01,2026-01-15,Not specified,https://polytech.univ-cotedazur.fr/formations/formations-ingenieurs/ingenieur-informatique,University Bachelor's degree,3.0,4.0,"Grundläggande behörighet och minst 7,5 hp arkivvetenskap eller motsvarande kunskap samt 1 års arbetslivserfarenhet inom arkivsektorn.",Application form; CV or resume; transcripts; degree certificate; language proof; passport,2 recommendation letters,Statement of purpose or motivation letter,Portfolio requirement depends on the programme,"{""details"": ""DUO RIO reports GEEN_EISEN for EISEN_WERKZAAMHEDEN."", ""requirement_status"": ""not_required""}",Career opportunities related to computer science,Career opportunities related to computer science,7,0,8,30,21.05,1,0,40,0,100.00
