field,hierarchy_level,rejection_gate,candidate_count,candidate_count_before,candidate_count_after,examples,rule_changed,reason
final_deadline,H4,PEER_ATTRIBUTES_UNVERIFIED,2472,2472,2472,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 02dee9d4-5ba9-5119-8ba2-0987267ee638; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 59acf68f-5088-53b1-9e8b-ecf9bface35b; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- ea606228-fed4-5679-991d-c219cf838a0d,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
ielts_overall,H4,PEER_ATTRIBUTES_UNVERIFIED,832,832,832,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 0d63641b-2431-54de-91b8-1ea6e27c937a; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 6fe429c4-a43c-5b2d-bd9b-366b367a0374; c6b706a2-ff0b-5ffa-a2b8-061e255e9608 <- 0d63641b-2431-54de-91b8-1ea6e27c937a,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
intakes,H3,DEGREE_MISMATCH,1,1,1,d50de2d3-1fef-5ea0-8ba0-bd3213a09956 <- f6ad4789-6c7f-5f8b-999a-4a9d1c207e46,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
intakes,H4,PEER_ATTRIBUTES_UNVERIFIED,2876,2876,2876,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- c97909dc-96f1-5be9-af2c-1b4eca1f6033; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 3568df62-9512-5a79-91db-38b5200daaaa; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 1b85eda4-942d-5d3c-bf37-58cb55ce5ad5,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
location,H4,PEER_ATTRIBUTES_UNVERIFIED,40188,40188,40188,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-f825d937-ce65-5abf-ba73-588cbbe7d1d4-location; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-150cc360-0583-5ca4-b727-85c3655122d8-location; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-1d747e1b-2087-5845-b0b1-9a73afb9fed1-location,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
minimum_degree,H3,DEGREE_MISMATCH,1,1,1,81f197ab-e6ea-5bdf-b4c2-eb79ba966142 <- 67cc7a6d-631f-5024-ad9c-bb5828bd73e1,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
minimum_degree,H4,PEER_ATTRIBUTES_UNVERIFIED,416,416,416,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 67cc7a6d-631f-5024-ad9c-bb5828bd73e1; c6b706a2-ff0b-5ffa-a2b8-061e255e9608 <- 67cc7a6d-631f-5024-ad9c-bb5828bd73e1; 12ea43db-9407-5372-89e5-7ed951f3cdc0 <- 67cc7a6d-631f-5024-ad9c-bb5828bd73e1,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
programme_identity,H3,DEGREE_MISMATCH,1,1,1,9abbec1d-5f50-59ea-9532-f3ed9e3aff10 <- 209a6ed0-15fc-539c-9550-8bc3a085c664,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
programme_identity,H4,PEER_ATTRIBUTES_UNVERIFIED,41904,41904,41904,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- b445b246-c840-503a-9821-7ae2088d98eb; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- fd0dbbf7-87bc-5edc-babf-faa2ea524998; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- e2af6a7d-8cab-5368-9f42-2f76f57aabcf,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
programme_language,H3,DEGREE_MISMATCH,2,2,2,e1eee6f6-bda2-5cbb-9419-21c682bfc19b <- metadata-626e1529-04bc-5ccd-be3e-78268b0a4e35-programme_language; 2a72840d-c750-5afa-8adf-d8b51e4abe33 <- metadata-7c7925d8-0ea6-5d8d-8b1c-10af69f024bb-programme_language,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
programme_language,H4,PEER_ATTRIBUTES_UNVERIFIED,6042,6042,6042,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-f7fd244f-c807-5a05-82dc-58c2e0df2804-programme_language; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-dcf7376b-e09f-5a39-a42b-463e84ec8ccc-programme_language; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- metadata-2d63a989-f592-52d3-9a35-1cab15b8fafe-programme_language,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
required_documents,H4,PEER_ATTRIBUTES_UNVERIFIED,1244,1244,1244,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- a89b442f-bbfe-5366-b05a-e9c612db880e; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 480a678e-1ea9-582d-b3fd-6181ce1a0cd0; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- ce114e04-1794-5a46-a4e6-7b3de5a740ee,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
scholarships,H4,PEER_ATTRIBUTES_UNVERIFIED,832,832,832,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- a58d39e7-ad40-5fdc-b27e-621ba7407533; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 55c3a8a8-558e-5f7b-8f69-5c78906c7c1b; c6b706a2-ff0b-5ffa-a2b8-061e255e9608 <- a58d39e7-ad40-5fdc-b27e-621ba7407533,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
standardized_tests,H4,PEER_ATTRIBUTES_UNVERIFIED,1664,1664,1664,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- fc67d536-4487-5b06-b8a7-dc6293316d98; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 9cc92951-c209-53ac-8cd3-a97eb977dc26; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 95d335bc-1012-5ee2-827f-4dbc5edf9e3a,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
subject_prerequisites,H4,PEER_ATTRIBUTES_UNVERIFIED,1656,1656,1656,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 20c1e0ee-2488-50e9-a80c-55ed353ce457; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 0ed84e95-245f-5497-ba78-b8924898622b; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- cde22126-3794-5206-be6e-115548ce0156,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
toefl,H4,PEER_ATTRIBUTES_UNVERIFIED,832,832,832,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 8fabc488-8c4b-59df-be5d-df3eab40b185; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 1ccbe743-a647-5d16-ac32-f35b44b9cfe0; c6b706a2-ff0b-5ffa-a2b8-061e255e9608 <- 8fabc488-8c4b-59df-be5d-df3eab40b185,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
tuition,H2,AUDIENCE_MISMATCH,132,274,132,a3c3b0a9-ef44-5d5c-bff6-0a8632ee6c84 <- 3cf1fe79-d637-51a5-a15c-84dfb2497118; 06e6e1c7-516e-521c-910b-5d397d4ec5a5 <- 3cf1fe79-d637-51a5-a15c-84dfb2497118; 0d8144a4-e388-5bbf-9d3c-e725193b73e5 <- c7e8352e-0ccb-51d4-b68b-cee63048d58f,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
tuition,H3,DEGREE_MISMATCH,1,1,1,9abbec1d-5f50-59ea-9532-f3ed9e3aff10 <- 7ae7c06a-b473-5d48-a2a3-caef27d2e542,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
tuition,H4,PEER_ATTRIBUTES_UNVERIFIED,58371,58371,58371,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 3cf1fe79-d637-51a5-a15c-84dfb2497118; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- e3297ee3-81b2-53e6-b8ae-aca2e4044028; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- c7e8352e-0ccb-51d4-b68b-cee63048d58f,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
tuition,UNKNOWN,DUPLICATE_POLICY_LINEAGE,6,0,6,cb438170-dfbb-5b3b-b816-a85c986e6f6e <- 834ecf93-0b10-5798-ac6c-6e4244bff6cc; 62fbd019-8947-581a-96c3-8440372ae3ca <- 834ecf93-0b10-5798-ac6c-6e4244bff6cc; 8b9c07a7-4cf6-5ae1-ac25-5963627459b3 <- 12ec45cc-783e-5a8f-97e8-3644d93bd933,NO,No hierarchy rule change; candidate remains rejected under existing compatibility policy.
work_experience,H4,PEER_ATTRIBUTES_UNVERIFIED,832,832,832,1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 07e3476b-cb0e-5682-b7c0-5cf017a4af53; 1c7ec8f4-2b0f-55c6-857e-bf401ddd7aab <- 0ebb9b0d-ab6d-528e-8a4e-141dc4bb134c; c6b706a2-ff0b-5ffa-a2b8-061e255e9608 <- 07e3476b-cb0e-5682-b7c0-5cf017a4af53,NO,"Unchanged: H4 still requires verified country, institution type, field domain, and degree attributes."
