Tên học bổng,Link,Expected slot/Acceptance Rate (optional),Ranking of the scholarship (optional),"Loại học bổng (merit-based, need-based,..)",Đối tượng,Trường áp dụng,degree,eligible_nationalities,"Thông tin cụ thể học bổng (Range tiền, số lượng học bổng, giá trị học bổng)",Điều kiện Apply,deadlines,Insight of the scholarship
KAIST Global Presidential Scholarship (KGPS) at Korea Advanced Institute of Science and Technology (KAIST) 2026 (Fully Funded),https://admission.kaist.ac.kr/intl-graduate/FinancialSupport/Scholarship/KAISTScholarship,,,Need-based,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Korea Advanced Institute of Science and Technology (KAIST),Master's and PhD,All Nationalities,"This fully funded scholarship for international students covers the following: | 100% tuition fee for 4 semesters | KRW 1,000,000 monthly financial aid for 4 semesters",Entering under the Master's or Master's-Ph.D. Integrated program,"The great news is that there is no specific deadline to apply for
  KAIST Global Presidential Scholarship (KGPS)!
  While there are no specific dates, it’s important to apply before the Korea Advanced Institute of Science and Technology (KAIST) admission deadlines .
  Here are the deadlines: | Master's Deadline (Spring): September 2, 2025 | Master's Deadline (Fall - Early Track): December 16, 2025 | Master's Deadline (Fall - Regular Track): March 17, 2026 | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng toàn phần có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Yếu tố quyết định là minh chứng tài chính (thu nhập gia đình, CSS Profile, sao kê...) chứ không phải điểm số tuyệt đối, nên hồ sơ tài chính cần chuẩn bị kỹ và trung thực. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
International Doctoral Scholarship at Tongji University 2026 (Fully Funded),https://mgg.tongji.edu.cn/mggen/ff/0e/c20267a196366/page.htm,,,Merit-based,"Sinh viên quốc tế bậc Tiến sĩ, mọi quốc tịch; có thành tích học tập nổi bật.",Tongji University,PhD,All Nationalities,"This fully funded scholarship for international students covers the following: | Medical insurance | 100% tuition fee waiver | On-campus accommodation | 5,000 RMB monthly allowance for living expenses",Holders of a master's degree | Healthy and under 40 years old | Students with great language proficiency | Having research work published in peer journals | Having a GPA of at least 3.8 or average grade point average of at least 85 | NOT recipients of any other scholarships from Government or the institute | Graduates of reputable universities abroad or double-first class universities in China,Không tìm thấy,"Học bổng toàn phần có mức độ hỗ trợ khá đầy đủ, vượt ra ngoài mức học phí cơ bản. Điểm cộng đáng chú ý là học bổng còn bao gồm bảo hiểm y tế, chỗ ở/ký túc xá những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Dr. Valeria Fleming STEM Scholarship at Fayetteville State University 2026 (Fully Funded),https://www.uncfsu.edu/paying-for-college/scholarships-(paying-for-college),,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch; có thành tích học tập nổi bật.",Fayetteville State University,Bachelor's,All Nationalities,This fully funded scholarship for international students covers the following: | Tuition costs | Accommodation costs,Students majoring in the STEM field | Students with a minimum high school GPA of 3.5,"The great news is that there is no specific deadline to apply for
  Dr. Valeria Fleming STEM Scholarship!
  While there are no specific dates, it’s important to apply before the Fayetteville State University admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Fall): June 2, 2026","Học bổng toàn phần có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Điểm cộng đáng chú ý là học bổng còn bao gồm chỗ ở/ký túc xá những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Graduate Fellowship Program at Visayas State University 2026 (Fully Funded),https://www.vsu.edu.ph/vsu/1135-vsu-scholarships,,,"Merit- based, need-based","Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, công dân: Brunei, Cambodia, Fiji, Indonesia, Laos, Malaysia, Myanmar, Samoa, Thailand, and Vietnam.",Visayas State University,Master's and PhD,"Brunei, Cambodia, Fiji, Indonesia, Laos, Malaysia, Myanmar, Samoa, Thailand, and Vietnam","This fully funded scholarship for international students covers the following: | School fees | 400 USD monthly stipend | 1,000 USD thesis support (for Master's) | 2,000 USD thesis support (for PhD)",Not older than 35 years old | Enrolled in a full-time program | Not receiving any kind of scholarship program | Willing to return to their home country upon completion of the program,Không tìm thấy,"Học bổng toàn phần có mức độ hỗ trợ khá đầy đủ, vượt ra ngoài mức học phí cơ bản. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì giới hạn theo quốc gia/khu vực, lượng ứng viên cạnh tranh trực tiếp sẽ ít hơn đáng kể so với học bổng mở toàn cầu. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
University Scholarship at Peking University 2026 (Fully Funded),https://isdplus.pku.edu.cn/HOME/SCHOLARSHIP/Peking_University_Scholarship__PKUS_.htm,,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Peking University,"Bachelor's, Master's, and PhD",All Nationalities,"This fully funded scholarship for international students covers the following: | 100% tuition fees for partial scholarship recipients | 100% tuition fees, living stipend, accommodation expenses, and comprehensive medical insurance for full scholarship recipients",Of good health | Non-recipients of other scholarships | Not possessing a professional degree | Not enlisted in a Joint Degree program or an English-taught program,"The great news is that there is no specific deadline to apply for
  University Scholarship!
  While there are no specific dates, it’s important to apply before the Peking University admission deadlines .
  Here are the deadlines: | Bachelor's Deadline: November 17, 2025 | Master's Deadline: December 23, 2025 | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng toàn phần có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Điểm cộng đáng chú ý là học bổng còn bao gồm bảo hiểm y tế, chỗ ở/ký túc xá những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Đây là học bổng tại một trường thuộc nhóm đại học hàng đầu thế giới, vừa khó cạnh tranh hơn nhưng cũng mang lại giá trị lớn cho hồ sơ học thuật và sự nghiệp về sau. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Cambridge Trust International Scholarship at University of Cambridge 2026 (Fully Funded),https://www.student-funding.cam.ac.uk/fund/cambridge-international-scholarship-2025,,,"Merit- based, need-based","Sinh viên quốc tế bậc Tiến sĩ, mọi quốc tịch, ngoại trừ Ireland and United Kingdom.",University of Cambridge,PhD,All Nationalities except Ireland and United Kingdom,This fully funded scholarship for international students covers the following: | Tuition fees | Living Stipend | Health Insurance,You just need to be an international Ph.D. student or applicant of University of Cambridge.,"The great news is that there is no specific deadline to apply for
  Cambridge Trust International Scholarship!
  While there is no fixed deadline to apply, you do need to apply for Ph.D. admissions at University of Cambridge .
  Ph.D. admissions timelines can differ by department or project—please check your department’s page for specifics.","Học bổng toàn phần có mức độ hỗ trợ khá đầy đủ, vượt ra ngoài mức học phí cơ bản. Điểm cộng đáng chú ý là học bổng còn bao gồm bảo hiểm y tế những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Đây là học bổng tại một trường thuộc nhóm đại học hàng đầu thế giới, vừa khó cạnh tranh hơn nhưng cũng mang lại giá trị lớn cho hồ sơ học thuật và sự nghiệp về sau. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Merit-based Scholarships at Seattle Pacific University 2026 (Full Tuition),https://spu.edu/undergraduate-admissions/scholarships-financial-aid/scholarships-and-grants/first-year-student-scholarships,,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch; có thành tích học tập nổi bật.",Seattle Pacific University,Bachelor's,All Nationalities,"This full tuition scholarship for international students covers $20,100 to full tuition.","Students with at least 3.0 GPA, from a Christian high school, and have parent/s working in a ministry for Future Merit Scholarship applicants | Students with remarkable academic performance for SPU Merit Scholarship applicants","The great news is that there is no specific deadline to apply for
  Merit-based Scholarships!
  While there are no specific dates, it’s important to apply before the Seattle Pacific University admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Autumn): February 15, 2026","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
African Excellence Award at University of Glasgow 2026 (Full Tuition),https://www.gla.ac.uk/scholarships/universityofglasgowafricanexcellenceaward/,,,Merit-based,"Sinh viên quốc tế bậc Thạc sĩ, công dân các quốc gia thuộc danh sách quy định (55 quốc gia, gồm Algeria, Angola, Benin, Botswana, Burkina Faso, ...); có thành tích học tập nổi bật.",University of Glasgow,Master's,"Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cabo Verde, Cameroon, Central African Republic, Chad, Comoros, Congo, Cote dIvoire, Democratic Republic of the Congo, Djibouti, Egypt, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Morocco, Mozambique, Namibia, Niger, Nigeria, Rwanda, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan, Sudan, Tanzania, Togo, Tunisia, Uganda, Zambia, and Zimbabwe",This full tuition scholarship for international students covers full tuition fee waiver.,Showing academic excellence and have achieved UK 1st Class Honours equivalent grades | Assessed for International fee status | Holder of an offer for a one-year postgraduate program,Không tìm thấy,"Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì giới hạn theo quốc gia/khu vực, lượng ứng viên cạnh tranh trực tiếp sẽ ít hơn đáng kể so với học bổng mở toàn cầu. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Graduate Assistantships at Middle Tennessee State University 2026 (Full Tuition),https://msps.mtsu.edu/assistants-graduateassistantship/,,,Assistantship,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Middle Tennessee State University,Master's and PhD,All Nationalities,This full tuition scholarship for international students covers 50% or 100% tuition costs .,You just need to be an international Master's and Ph.D. student or applicant of Middle Tennessee State University.,"The great news is that there is no specific deadline to apply for
  Graduate Assistantships!
  While there are no specific dates, it’s important to apply before the Middle Tennessee State University admission deadlines .
  Here are the deadlines: | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Đây thực chất là một vị trí bán thời gian (trợ giảng/trợ lý nghiên cứu) đi kèm học bổng, nên yếu tố then chốt là sự phù hợp với khoa/bộ môn và năng lực ngôn ngữ để đảm nhận công việc giảng dạy/nghiên cứu, không chỉ điểm số. Khối lượng giờ làm việc bắt buộc mỗi tuần có thể ảnh hưởng đến thời gian học tập. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Charles Griffith Graduate Fellowship in Science and Technology at University of New Mexico 2026 (Full Tuition),https://grad.unm.edu/funding/fellowships/charles-griffith-fellowship.html,,,"Merit- based, need-based","Sinh viên quốc tế bậc Tiến sĩ, mọi quốc tịch.",University of New Mexico,PhD,All Nationalities,This full tuition scholarship for international students covers the following: | 100% of tuition fees | Research activities expenses,newly admitted international doctoral students who have not yet advanced to candidacy,Không tìm thấy,"Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Graduate Assistantships at Texas A and M University 2026 (Full Tuition),https://grad.tamu.edu/current-students/graduate-student-employees,,,Assistantship,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",Texas A and M University,Master's and PhD,All Nationalities,"This full tuition scholarship for international students covers the following: | Tuition fees | minimum $1,826 per month | Healthcare",You just need to be an international Master's and Ph.D. student or applicant of Texas A and M University.,"The great news is that there is no specific deadline to apply for
  Graduate Assistantships!
  While there are no specific dates, it’s important to apply before the Texas A and M University admission deadlines .
  Here are the deadlines: | Master's Deadline (Fall): February 15, 2026 (Different Master's programs have different deadlines) | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ khá đầy đủ, vượt ra ngoài mức học phí cơ bản. Đây thực chất là một vị trí bán thời gian (trợ giảng/trợ lý nghiên cứu) đi kèm học bổng, nên yếu tố then chốt là sự phù hợp với khoa/bộ môn và năng lực ngôn ngữ để đảm nhận công việc giảng dạy/nghiên cứu, không chỉ điểm số. Khối lượng giờ làm việc bắt buộc mỗi tuần có thể ảnh hưởng đến thời gian học tập. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Graduate Assistantships at Louisiana State University 2026 (Full Tuition),https://www.lsu.edu/graduateschool/funding/assistantships.php,,,Merit-based,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch; có thành tích học tập nổi bật, sẵn sàng đảm nhận công việc trợ giảng/trợ lý nghiên cứu.",Louisiana State University,Master's and PhD,All Nationalities,"This full tuition scholarship for international students covers the following: | An annual stipend of $10,800 with full tuition exemption and non-resident tuition waiver for full-time assistants | An annual stipend of $5,400 and non-resident tuition fee waiver for part-time assistants",Enrolled in a minimum of 9 semester hours in the Fall or Spring semester | Students with a minimum GPA of 3.00 during the assistantship application,"The great news is that there is no specific deadline to apply for
  Graduate Assistantships!
  While there are no specific dates, it’s important to apply before the Louisiana State University admission deadlines .
  Here are the deadlines: | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Gordon Wu Fellowship at Princeton University 2026 (Full Tuition),https://gradschool.princeton.edu/financial-support/fellowships/princeton-fellowships/gordon-wu-fellowship,,,"Merit- based, need-based","Sinh viên quốc tế bậc Tiến sĩ, mọi quốc tịch.",Princeton University,PhD,All Nationalities,"This full tuition scholarship for international students covers the following: | 100% tuition fee in the first year | $3,000 in the first year | $5,000 supplement every year for 5 years",You just need to be an international Ph.D. student or applicant of Princeton University.,"The great news is that there is no specific deadline to apply for
  Gordon Wu Fellowship!
  While there is no fixed deadline to apply, you do need to apply for Ph.D. admissions at Princeton University .
  Ph.D. admissions timelines can differ by department or project—please check your department’s page for specifics.","Học bổng miễn học phí có mức độ hỗ trợ khá đầy đủ, vượt ra ngoài mức học phí cơ bản. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Đây là học bổng tại một trường thuộc nhóm đại học hàng đầu thế giới, vừa khó cạnh tranh hơn nhưng cũng mang lại giá trị lớn cho hồ sơ học thuật và sự nghiệp về sau. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Graduate Assistantships at University of Oregon 2026 (Full Tuition),https://graduatestudies.uoregon.edu/funding/ge,,,Assistantship,"Sinh viên quốc tế bậc Thạc sĩ và Tiến sĩ, mọi quốc tịch.",University of Oregon,Master's and PhD,All Nationalities,This full tuition scholarship for international students covers the following: | A monthly wage | A full-time tuition waiver | Assistance with mandatory fees | Assistance with health insurance that might extend to full coverage for eligible individuals,regularly admitted students enrolling in a master's or doctoral degree-seeking program,"The great news is that there is no specific deadline to apply for
  Graduate Assistantships!
  While there are no specific dates, it’s important to apply before the University of Oregon admission deadlines .
  Here are the deadlines: | PhD Deadline:
  Exact deadlines vary depending on your chosen department or project.","Học bổng miễn học phí có mức độ hỗ trợ khá đầy đủ, vượt ra ngoài mức học phí cơ bản. Điểm cộng đáng chú ý là học bổng còn bao gồm bảo hiểm y tế những khoản này không phải học bổng nào cũng có, giúp giảm đáng kể chi phí phát sinh ngoài học phí. Đây thực chất là một vị trí bán thời gian (trợ giảng/trợ lý nghiên cứu) đi kèm học bổng, nên yếu tố then chốt là sự phù hợp với khoa/bộ môn và năng lực ngôn ngữ để đảm nhận công việc giảng dạy/nghiên cứu, không chỉ điểm số. Khối lượng giờ làm việc bắt buộc mỗi tuần có thể ảnh hưởng đến thời gian học tập. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Hanyang Scholarship for Excellence in TOPIK at Hanyang University 2026 (Full Tuition),https://oia.hanyang.ac.kr/admission,,,Merit-based,"Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch.",Hanyang University,Bachelor's,All Nationalities,This full tuition scholarship for international students covers the following: | 100% tuition fees for TOPIK level 6 holders | 50% reduction in tuition fees for TOPIK level 5 holders,Incoming international students with a TOPIK level 5 or 6,"The great news is that there is no specific deadline to apply for
  Hanyang Scholarship for Excellence in TOPIK!
  While there are no specific dates, it’s important to apply before the Hanyang University admission deadlines .
  Here are the deadlines: | Bachelor's Deadline (Spring): September 19, 2025 | Bachelor's Deadline (Fall): March 27, 2026","Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
Scholarship Program at Teikyo University 2026 (Full Tuition),https://www.teikyo-u.ac.jp/en/studentlife/life_support/financial_support/scholarship_system,,,"Merit- based, need-based","Sinh viên quốc tế bậc Cử nhân, mọi quốc tịch.",Teikyo University,Bachelor's,All Nationalities,This full tuition scholarship for international students covers 100% of tuition fees.,With excellent grades | Applied through General Selection I or II,Không tìm thấy,"Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Không có vòng xét tuyển học bổng tách biệt hỗ trợ tài chính được cấp gần như tự động khi ứng viên trúng tuyển chương trình, nên trọng tâm cần đặt vào hồ sơ nhập học của trường hơn là một bộ hồ sơ học bổng riêng. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp học bổng riêng quyền lợi gắn liền với hồ sơ nhập học, nên ứng viên cần nộp đơn nhập học càng sớm càng tốt vì ngân sách/suất học bổng thường có giới hạn và xét theo thứ tự."
Tuition and Admission Fee Exemption at Graduate University for Advanced Studies 2026 (Full Tuition),https://www.soken.ac.jp/en/campuslife/tuition/exemption/,,,Merit-based,"Sinh viên quốc tế bậc Tiến sĩ, mọi quốc tịch; có thành tích học tập nổi bật.",Graduate University for Advanced Studies,PhD,All Nationalities,This full tuition scholarship for international students covers a tuition and admission fee exemption.,Experiencing financial difficulties | Able to demonstrate academic excellence,Không tìm thấy,"Học bổng miễn học phí có mức độ hỗ trợ ở mức cơ bản, chủ yếu tập trung vào học phí. Cạnh tranh chủ yếu dựa trên hồ sơ học thuật (GPA, điểm chuẩn hóa, thành tích), vì vậy ứng viên nên đầu tư vào bảng điểm, thư giới thiệu học thuật và bài luận thể hiện năng lực vượt trội. Vì mở cho mọi quốc tịch, mặt bằng cạnh tranh thường cao hơn so với học bổng giới hạn vùng/quốc gia, đặc biệt nếu trường có thứ hạng cao. Không có hạn nộp cố định cho riêng học bổng, nhưng nên hoàn thiện hồ sơ trước hạn tuyển sinh chung của trường để không bỏ lỡ đợt xét duyệt."
